K,WSS
1,6745.42150421201
2,1633.2152667693306
3,1331.6562264348813
4,958.5875210982582
5,729.2470603479337
6,472.9703877752051
7,391.19781721937613
8,330.2667308979094
9,296.34377469485435
10,248.87618301463388
