Cluster,ativo_total,carteira_de_credito,patrimonio_liquido,lucro_liquido,indice_de_basileia,indice_de_imobilizacao,numero_de_agencias,numero_de_postos_de_atendimento
1,3283436.3574660737,1670445.5972850723,335947.35746606265,12074.520361990988,0.06994389140271491,0.1942398190045249,1.3257918552036208,23.457013574660685
2,3383,0,3262,-209,50.5101,0,1.5,0
3,8928571,4276586,6748160,272859,0.6048,0.0049,4,1062
4,1947638.5166872628,888697.579728054,309325.45859084994,8211.227441285417,0.6287061804697156,0.03673720642768848,1.044499381953034,6.117428924598291
5,135610163.93333334,46889957.13333333,9254374.466666667,385155.73333333334,0.1574,0.10518666666666666,92.53333333333333,14.866666666666664
