ML1,ML2,ML3,banco
0.42000417846590055,24.187290275729186,-1.7528450438578203,ITAU - PRUDENCIAL
20.558942000746292,2.0570291798828224,5.534271387005299,BB - PRUDENCIAL
16.431618335000007,4.481155072335386,-18.968913385337313,CAIXA ECONÔMICA FEDERAL - PRUDENCIAL
9.646165232055484,6.749901423160547,5.152047082492187,BRADESCO - PRUDENCIAL
12.911740094506692,-1.1128777032130353,13.324594554399143,SANTANDER - PRUDENCIAL
-7.125434900527543,16.17745000612336,8.10073852446205,BNDES - PRUDENCIAL
-3.5470063912735954,8.670503740640797,3.7070131199044587,BTG PACTUAL - PRUDENCIAL
-0.23361135200064156,1.3015401513614646,-1.0633487337752918,XP - PRUDENCIAL
-0.01906771966293343,2.3936294915033027,-2.028920706183299,SAFRA - PRUDENCIAL
0.02918678031696073,0.6890893659257502,-3.1612554689155394,BCO COOPERATIVO SICREDI - PRUDENCIAL
-0.2822220903212403,1.3055885307962845,0.6446364673698208,CITIBANK - PRUDENCIAL
-0.33690777521539156,1.1253857639534295,-1.524695091927344,BANCOOB - PRUDENCIAL
3.450122998990532,-2.19980264669033,3.367412789644692,BANRISUL - PRUDENCIAL
-0.6441109725523366,1.7895570075770544,-2.2757495952669773,VOTORANTIM - PRUDENCIAL
-0.739087461370881,1.8203352867786757,-2.481882975904434,BANCO C6 - PRUDENCIAL
-0.6022591939120991,1.1654480812033294,2.437269802209748,JP MORGAN CHASE - PRUDENCIAL
-0.007682657464616101,0.3608407207541122,-1.3124410243957083,BANCO MASTER - PRUDENCIAL
-0.20363398111144496,1.0283586618468505,-0.6247316837322984,BCO DAYCOVAL S.A - PRUDENCIAL
-0.19919051148429084,0.7079465084538219,-0.8702843992517993,INTER - PRUDENCIAL
1.7605423009703567,-1.1251025892157882,4.680345852019585,BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL
0.2824467940817037,0.42104618875063304,-1.2904653206581977,BRB - PRUDENCIAL
-0.22726423808255647,0.5897705265027228,-0.01871518383616277,ABC-BRASIL - PRUDENCIAL
0.40789842490738243,0.1421856799998365,0.7501865920158252,BCO DA AMAZONIA S.A. - PRUDENCIAL
-0.5678344420925896,1.2112898982772615,-1.2682071938671389,VOLKSWAGEN - PRUDENCIAL
-0.017687246235355888,0.368109819967733,-1.760320538533107,BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL
0.04602080527511955,0.24488999976642434,-0.6536865427218775,BMG - PRUDENCIAL
-0.41606490636289967,0.6310165823634829,1.470906949420887,BOFA MERRILL LYNCH - PRUDENCIAL
0.5690926016163506,-0.41919521413958183,0.6184725116903471,BANESTES - PRUDENCIAL
-0.43039929680895894,0.6380026677428969,1.5016376530866966,GOLDMAN SACHS - PRUDENCIAL
-0.42939220868579703,0.8137728193374422,-0.03604873867228932,AGIBANK - PRUDENCIAL
-0.1379519480830032,0.2106132756820402,0.012731735821928465,BNP PARIBAS - PRUDENCIAL
-0.07032774450906407,0.13068718687661088,-0.8251137386987059,ORIGINAL - PRUDENCIAL
-0.09884239478059041,0.19488274251465326,-0.4182727719569232,BOCOM - PRUDENCIAL
-0.13868851865567472,0.3240614179222502,-1.3390217483369653,BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL
-0.030455585404913575,-0.01025134933154112,1.5571192459135337,BCO CLASSICO S.A. - PRUDENCIAL
-0.23178594828661647,0.47401270449512045,0.13972708434601505,MERCANTIL DO BRASIL - PRUDENCIAL
-0.09213034502882807,0.05610301318482554,0.1369517560950887,COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS
-0.180404984467565,0.35954398035385354,-0.6402231920360244,BD REGIONAL DO EXTREMO SUL - PRUDENCIAL
-0.07557519510862334,0.13505555378296533,0.7680890517398934,UBS (BRASIL) - PRUDENCIAL
-0.18282034717076673,0.20929207980856682,0.9846862627944898,MORGAN STANLEY - PRUDENCIAL
-0.20683637031394045,0.36498705819733307,-0.5529751693994954,PORTO SEGURO - PRUDENCIAL
0.018096185161365512,0.02842965317977838,-0.4058912042129872,BANK OF CHINA (BRASIL) - PRUDENCIAL
-0.21245579599227682,0.35361240134585775,-0.4592708840582674,BCO CSF S.A. - PRUDENCIAL
-0.21669756792944042,0.3781299744871357,-0.2512330922777466,STELLANTIS - PRUDENCIAL
-0.07082738494506403,0.05910008602635523,-0.3220837592003964,BCO FIBRA S.A. - PRUDENCIAL
-0.12415251260832703,0.23145444192659959,-0.7677417882084062,MERCEDES-BENZ - PRUDENCIAL
