Cluster,ativo_total,carteira_de_credito,patrimonio_liquido,lucro_liquido,indice_de_basileia,indice_de_imobilizacao,numero_de_agencias,numero_de_postos_de_atendimento
1,47265417.67741935,18762601.677419357,5255926.870967742,176510.41935483873,0.20985483870967742,0.07170645161290323,23.516129032258064,67.25806451612904
2,1575769.9424031626,749860.2154915731,212477.47567030782,6018.864945382304,0.5157404170804369,0.07034081429990072,0.6613704071499523,9.206554121152015
3,3383,0,3262,-209,50.5101,0,1.5,0
4,161541468.125,57375109.125,11644236,478590.875,0.148825,0.14675,141.875,7.75
