K,Silhueta_Media
2,0.9715952152260172
3,0.5412365574183621
4,0.5821021354175296
5,0.5168205669252426
6,0.5191368186219077
7,0.5150780423222462
8,0.45107403774789556
9,0.5323873058451407
10,0.4321636406671283
