Banco,Cluster
ABC-BRASIL - PRUDENCIAL,1
AGIBANK - PRUDENCIAL,1
APE POUPEX - PRUDENCIAL,1
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL,1
BANCO MASTER - PRUDENCIAL,1
BANCOOB - PRUDENCIAL,1
BANESTES - PRUDENCIAL,1
BCO CLASSICO S.A. - PRUDENCIAL,1
BCO COOPERATIVO SICREDI - PRUDENCIAL,1
BCO CSF S.A. - PRUDENCIAL,1
BCO DA AMAZONIA S.A. - PRUDENCIAL,1
BCO DO EST. DO PA S.A. - PRUDENCIAL,1
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL,1
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL,1
BMG - PRUDENCIAL,1
BOFA MERRILL LYNCH - PRUDENCIAL,1
BRB - PRUDENCIAL,1
COOPERATIVA DE CREDITO CREDICITRUS,1
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI,1
CREFISA S.A. CFI - PRUDENCIAL,1
GOLDMAN SACHS - PRUDENCIAL,1
HONDA - PRUDENCIAL,1
INTER - PRUDENCIAL,1
JP MORGAN CHASE - PRUDENCIAL,1
MERCANTIL DO BRASIL - PRUDENCIAL,1
MORGAN STANLEY - PRUDENCIAL,1
PORTO SEGURO - PRUDENCIAL,1
STELLANTIS - PRUDENCIAL,1
UBS (BRASIL) - PRUDENCIAL,1
VOLKSWAGEN - PRUDENCIAL,1
VOLVO - PRUDENCIAL,1
A55 SCD - PRUDENCIAL,2
ACCREDITO SOCIEDADE DE CREDITO DIRETO - PRUDENCIAL,2
AF DESENVOLVE SP S.A. - PRUDENCIAL,2
AF DO ESTADO DE SC S.A. - PRUDENCIAL,2
AF ESTADO DE PERNAMBUCO S.A. - PRUDENCIAL,2
AF PARANÁ - PRUDENCIAL,2
AFAL - PRUDENCIAL,2
AFEAM - PRUDENCIAL,2
AG. FOMENTO ESTADO DE RORAIMA - PRUDENCIAL,2
AG. FOMENTO ESTADO DO TOCANTINS - PRUDENCIAL,2
AGENCIA FOMENTO EST RJ S.A. - PRUDENCIAL,2
AGORACRED S/A SCFI - PRUDENCIAL,2
AGROLEND SCFI - PRUDENCIAL,2
AGÊNCIA DE FOMENTO MATO GROSSO - PRUDENCIAL,2
ALL IN CRED SCD - PRUDENCIAL,2
ARTTA SCD PRUDENCIAL,2
ASA SCD - PRUDENCIAL,2
ATF SCD - PRUDENCIAL,2
ATICCA SCD PRUDENCIAL,2
ATLANTA SCM LTDA - PRUDENCIAL,2
ATRIA S.A. - CFI - PRUDENCIAL,2
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL,2
BAMAQ CAPITAL SCD - PRUDENCIAL,2
BANCO B3 - PRUDENCIAL,2
BANCO BARI DE INVESTIMENTO E FINANCI. - PRUDENCIAL,2
BANCO DIGIMAIS - PRUDENCIAL,2
BANCO HSBC - PRUDENCIAL,2
BANCO IBM S.A. - PRUDENCIAL,2
BANCO KOMATSU DO BRASIL - PRUDENCIAL,2
BANCO MONEO S.A. - PRUDENCIAL,2
BANCO PACCAR - PRUDENCIAL,2
BANCO PAULISTA - PRUDENCIAL,2
BANCO PORTO REAL DE INVEST.S.A - PRUDENCIAL,2
BANCO RIBEIRÃO PRETO - PRUDENCIAL,2
BANCO RNX S.A. - PRUDENCIAL,2
BANCO SEMEAR - PRUDENCIAL,2
BANCO TOPÁZIO S.A. - PRUDENCIAL,2
BANCO XCMG BRASIL - PRUDENCIAL,2
BANK OF CHINA (BRASIL) - PRUDENCIAL,2
BANSUR JM SCD - PRUDENCIAL,2
BARRACRED - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO,2
BARU SCD - PRUDENCIAL,2
BBC S.A. - PRUDENCIAL,2
BBVA BRASIL BI S.A. - PRUDENCIAL,2
BCO ABN AMRO CLEARING - PRUDENCIAL,2
BCO CARGILL S.A. - PRUDENCIAL,2
BCO CATERPILLAR S.A. - PRUDENCIAL,2
BCO CEDULA S.A. - PRUDENCIAL,2
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL,2
BCO DES. DE MG S.A. - PRUDENCIAL,2
BCO DES. DO ES S.A. - PRUDENCIAL,2
BCO DO EST. DE SE S.A. - PRUDENCIAL,2
BCO FIBRA S.A. - PRUDENCIAL,2
BCO GUANABARA S.A. - PRUDENCIAL,2
BCO INBURSA S.A. - PRUDENCIAL,2
BCO INDUSCRED DE INVESTIM. S/A - PRUDENCIAL,2
BCO KDB BRASIL S.A. - PRUDENCIAL,2
BCO KEB DO BRASIL SA - PRUDENCIAL,2
BCO LUSO BRASILEIRO S.A. - PRUDENCIAL,2
BCO MUFG BRASIL S.A. - PRUDENCIAL,2
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL,2
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL,2
BCO TRICURY S.A. - PRUDENCIAL,2
BCO WOORI BANK DO BRASIL S.A. - PRUDENCIAL,2
BEZZ SCD - PRUDENCIAL,2
BFC SCD - PRUDENCIAL,2
