K,Silhueta_Media
2,0.9681167306673559
3,0.9065732398512857
4,0.8684883212543753
5,0.48178366059745703
6,0.4873063999745653
7,0.4965116300320168
8,0.4811243399518861
9,0.4722692152993474
10,0.46140931812042224
