Cluster,ativo_total,carteira_de_credito,patrimonio_liquido,lucro_liquido,indice_de_basileia,indice_de_imobilizacao,numero_de_agencias,numero_de_postos_de_atendimento
1,2143432.514591427,1014378.4630350225,306739.2597276259,8496.021400778098,0.5094905642023344,0.07026420233463035,1.0885214007782071,9.625486381323052
2,118939522.22222224,41831650.11111111,8595804.444444444,368202.05555555556,0.1828,0.11102777777777778,78.38888888888889,84.61111111111113
3,3383,0,3262,-209,50.5101,0,1.5,0
