variavel,comunalidade,especificidade
ativo_total,0.9363927337917911,0.06360726620820889
carteira_de_credito,0.9669698773298335,0.03303012267016647
patrimonio_liquido,0.9565118278332021,0.0434881721667979
lucro_liquido,0.9944996196851702,0.0055003803148298
indice_de_basileia,0.004385786637426812,0.9956142133625732
indice_de_imobilizacao,0.026137357637750498,0.9738626423622495
numero_de_agencias,0.30117073635454233,0.6988292636454576
numero_de_postos_de_atendimento,0.6005031098200408,0.39949689017995915
