Cluster,ativo_total,carteira_de_credito,patrimonio_liquido,lucro_liquido,indice_de_basileia,indice_de_imobilizacao,numero_de_agencias,numero_de_postos_de_atendimento
1,2234251.451456313,1056431.8631067786,315037.5359223346,9040.147572815637,0.5088164077669906,0.07053145631067961,1.1048543689320436,9.837864077669838
2,135610163.93333334,46889957.13333333,9254374.466666667,385155.73333333334,0.1574,0.10518666666666666,92.53333333333333,14.866666666666664
3,8928571,4276586,6748160,272859,0.6048,0.0049,4,1062
