PC1,PC2,banco
-38.97630976946281,0.6602525086283069,ITAU - PRUDENCIAL
-35.38895100647466,0.9712924683829715,BB - PRUDENCIAL
-31.635093392760556,0.8616470992030029,CAIXA ECONÔMICA FEDERAL - PRUDENCIAL
-28.579178954848306,-0.2814271058587378,BRADESCO - PRUDENCIAL
-24.91122034765746,-0.6029093212512622,SANTANDER - PRUDENCIAL
-14.680961412341127,1.2147850139903864,BNDES - PRUDENCIAL
-7.526512650736209,-1.183912750629706,BTG PACTUAL - PRUDENCIAL
-1.5147445460922773,-2.0937408862475766,XP - PRUDENCIAL
-3.17974145967159,-1.0241163265227433,SAFRA - PRUDENCIAL
-0.7032351098480488,0.3227808748992405,BCO COOPERATIVO SICREDI - PRUDENCIAL
-1.4412136671169868,0.301506397641336,CITIBANK - PRUDENCIAL
-0.8747863355774983,-0.4454346006258027,BANCOOB - PRUDENCIAL
-2.334814508011497,-0.33120115041357195,BANRISUL - PRUDENCIAL
-1.4345583266676838,0.04267990279010673,VOTORANTIM - PRUDENCIAL
-1.116157958676101,-0.5843596837175348,BANCO C6 - PRUDENCIAL
-0.9024979075194747,0.39123137986731926,JP MORGAN CHASE - PRUDENCIAL
-0.3794380256048874,-0.3293940961979341,BANCO MASTER - PRUDENCIAL
-1.0564323770983266,-0.8454283518247319,BCO DAYCOVAL S.A - PRUDENCIAL
-0.6406065516405627,-0.2665242377080004,INTER - PRUDENCIAL
-1.4001714932478184,0.31300377307827343,BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL
-1.5126687061608421,-0.5466543647618098,BRB - PRUDENCIAL
-0.4449350581611544,0.3741532616429145,ABC-BRASIL - PRUDENCIAL
-0.771114143669701,0.30027715500300983,BCO DA AMAZONIA S.A. - PRUDENCIAL
-0.6471925417548403,0.4040227646634248,VOLKSWAGEN - PRUDENCIAL
-0.35573420262369276,0.32934384577507553,BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL
-0.4002976991430494,-1.410935100642257,BMG - PRUDENCIAL
-0.32283451319321654,0.3094028140806216,BOFA MERRILL LYNCH - PRUDENCIAL
-0.5579052224594837,-1.296116225109483,BANESTES - PRUDENCIAL
-0.2560151197967397,0.3926713695819249,GOLDMAN SACHS - PRUDENCIAL
-1.5354185682273145,-2.496503374503315,AGIBANK - PRUDENCIAL
-0.052947701061147955,0.2773180733179399,BNP PARIBAS - PRUDENCIAL
0.051510962696367,0.012519232655146022,ORIGINAL - PRUDENCIAL
0.008136336773508513,0.3427442080550592,BOCOM - PRUDENCIAL
-0.09290511583712757,0.3803985400457276,BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL
-0.41143935315416413,-0.041014474841909454,BCO CLASSICO S.A. - PRUDENCIAL
-1.501713462203909,-1.6529713358345237,MERCANTIL DO BRASIL - PRUDENCIAL
