variavel,ativo_total,carteira_de_credito,patrimonio_liquido,lucro_liquido,indice_de_basileia,indice_de_imobilizacao,numero_de_agencias,numero_de_postos_de_atendimento
ativo_total,1,0.9509402327523715,0.9166382367990555,0.9330042956876274,-0.02223248726915557,0.05720342970076571,0.2825867313529691,0.01380592793979984
carteira_de_credito,0.9509402327523715,1,0.9326582059585082,0.9481861853160527,-0.023353511208269586,0.045636032569136786,0.2911163287644674,0.0413646740841483
patrimonio_liquido,0.9166382367990555,0.9326582059585082,1,0.9748872678243363,-0.015227161006509771,0.010986455858566708,0.16957893504896532,0.02992239294972704
lucro_liquido,0.9330042956876274,0.9481861853160527,0.9748872678243363,1,-0.01579049451348339,0.028187044241065228,0.16778044399951458,0.05175849501233995
indice_de_basileia,-0.02223248726915557,-0.023353511208269586,-0.015227161006509771,-0.01579049451348339,1,-0.08866342334196446,-0.01234137779581375,-0.03733526961139898
indice_de_imobilizacao,0.05720342970076571,0.045636032569136786,0.010986455858566708,0.028187044241065228,-0.08866342334196446,1,0.033371497751337034,0.09533889843079528
numero_de_agencias,0.2825867313529691,0.2911163287644674,0.16957893504896532,0.16778044399951458,-0.01234137779581375,0.033371497751337034,1,0.035854538933227854
numero_de_postos_de_atendimento,0.01380592793979984,0.0413646740841483,0.02992239294972704,0.05175849501233995,-0.03733526961139898,0.09533889843079528,0.035854538933227854,1
