PC1,PC2,PC3,banco
-51.5500717974878,3.908446574413975,3.474471077439782,BNDES - PRUDENCIAL
-27.38192001651492,-0.12014629807135468,0.867449666551457,BTG PACTUAL - PRUDENCIAL
-6.33983583300916,-1.6261876372101094,0.44533120919003305,XP - PRUDENCIAL
-12.988239140052192,-1.7169274470520386,-2.2668286140182556,SAFRA - PRUDENCIAL
-4.187164682557853,0.5572344092190791,0.35904244757311304,BCO COOPERATIVO SICREDI - PRUDENCIAL
-6.025545599663171,0.23221776773136546,-0.35989007843537,CITIBANK - PRUDENCIAL
-4.337335565092104,-0.1354261889879907,0.3905498234231611,BANCOOB - PRUDENCIAL
-9.145080050087266,-4.181740759386797,-8.699572918214788,BANRISUL - PRUDENCIAL
-6.36383664830029,0.3521580705369281,0.4230290735832179,VOTORANTIM - PRUDENCIAL
-5.347803636831583,-0.21874873776628123,0.4654245813189701,BANCO C6 - PRUDENCIAL
-3.6438863818848444,0.6952490399665782,0.4230519368065529,JP MORGAN CHASE - PRUDENCIAL
-2.343632450187883,-0.2400411164844613,0.05547947762715544,BANCO MASTER - PRUDENCIAL
-4.717660455726625,-0.8604009726779652,-0.4619738650838339,BCO DAYCOVAL S.A - PRUDENCIAL
-3.231885002754644,-0.07541250342104636,0.15057819620927318,INTER - PRUDENCIAL
-5.536304751293817,-1.48024668921425,-4.472895742291944,BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL
-4.258742591906312,-3.0753133721061405,-3.5474787683012483,BRB - PRUDENCIAL
-2.457219112245035,0.5419552521716817,0.2050087474584668,ABC-BRASIL - PRUDENCIAL
-3.7117874723322863,-0.22656296533676246,-1.4495292609657537,BCO DA AMAZONIA S.A. - PRUDENCIAL
-3.443756867207156,0.6818871597220652,0.44229899959464003,VOLKSWAGEN - PRUDENCIAL
-2.439409393357707,0.4442755134309452,0.10122312307538676,BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL
-2.1209371448352377,-1.3371046338058195,-0.18992279302178033,BMG - PRUDENCIAL
-1.661094953315013,0.5592974757090551,0.3804871271917853,BOFA MERRILL LYNCH - PRUDENCIAL
-1.7097619499412497,-2.4868734285557674,-2.098558732200351,BANESTES - PRUDENCIAL
-1.4681447420309084,0.6159167235936396,0.34631167568931576,GOLDMAN SACHS - PRUDENCIAL
-2.3739390012108292,-5.357596789255154,-3.2889265124179614,AGIBANK - PRUDENCIAL
-0.9597374975970728,0.4868093970225166,0.3504863839921769,BNP PARIBAS - PRUDENCIAL
-0.7316473461830588,0.20992571086358253,0.3177968470883267,ORIGINAL - PRUDENCIAL
-0.890411808610899,0.4861151831377852,0.22796358215301418,BOCOM - PRUDENCIAL
-1.3892336473502085,0.5788394593090062,0.34030000763530666,BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL
-1.6042059258720998,0.2859502601958858,0.468003121453045,BCO CLASSICO S.A. - PRUDENCIAL
-1.7702779571334704,-5.21045832856584,-4.084001359459217,MERCANTIL DO BRASIL - PRUDENCIAL
-0.3243064200110057,-0.12975696460202957,0.35488488160889564,COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS
-1.471112169028252,0.5403566750501189,0.3244779357486325,BD REGIONAL DO EXTREMO SUL - PRUDENCIAL
-1.1756320098016984,0.5255578411441151,0.09444031492095371,UBS (BRASIL) - PRUDENCIAL
-0.8808015020352832,0.5375463205102626,0.32043626183527196,MORGAN STANLEY - PRUDENCIAL
-1.1276222180247868,0.11164938809994629,0.3003140249651979,PORTO SEGURO - PRUDENCIAL
-0.7724099746006321,0.38699464073064666,0.0640047353304449,BANK OF CHINA (BRASIL) - PRUDENCIAL
-1.1404348659659118,0.33759330605615867,0.3511206163652321,BCO CSF S.A. - PRUDENCIAL
-1.3827172356224051,0.5917144773683968,0.32809617511126626,STELLANTIS - PRUDENCIAL
-0.39017012744009044,0.35935352803153153,0.32072556164551896,BCO FIBRA S.A. - PRUDENCIAL
-1.008183905871535,0.5232194999692946,0.30115939311470524,MERCEDES-BENZ - PRUDENCIAL
