K,Silhueta
2,0.8871560291969824
3,0.8892465054518948
4,0.4714493520542596
5,0.4827464806505566
6,0.4723311382645749
7,0.43266532198397967
8,0.4400213933758945
9,0.4262437842688737
10,0.43099869541560315
