K,Silhueta
2,0.8809992282993305
3,0.7845141132901595
4,0.3747842787289103
5,0.3890229027453542
6,0.42105846220638404
7,0.3867386338032881
8,0.3516229481275229
9,0.3373918480881747
10,0.3632882540288663
