variavel,media,mediana,dp,min,max,q25,q75
ativo_total,14905436.563032815,373787,144815770.39048773,236,2500942812,31354.5,1826743
carteira_de_credito,6792546.301421717,158294,69903450.26361683,0,1213628393,8222,805041.5
patrimonio_liquido,1378170.7706161505,64043,12100285.226161405,-646,204014774,13902,239863
lucro_liquido,54319.55734597166,1420,526101.1094863306,-134669,11133252,40.5,7550
indice_de_basileia,0.59645317535545,0.2621,2.6634810041620587,-32.8685,69.8374,0.18325,0.7435499999999999
indice_de_imobilizacao,0.07148701421800947,0.0473,0.10264621270661722,0,1.6762000000000001,0.00605,0.10245000000000001
numero_de_agencias,15.735545023696403,0,199.81524012688803,0,4006,0,2
numero_de_postos_de_atendimento,15.509004739336211,1,80.83442716585782,0,1544,0,13
