Banco,Cluster
BANCO C6 - PRUDENCIAL,1
BANRISUL - PRUDENCIAL,1
BCO DAYCOVAL S.A - PRUDENCIAL,1
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,1
CITIBANK - PRUDENCIAL,1
SAFRA - PRUDENCIAL,1
VOTORANTIM - PRUDENCIAL,1
XP - PRUDENCIAL,1
CREFISA S.A. CFI - PRUDENCIAL,2
ABC-BRASIL - PRUDENCIAL,3
AGIBANK - PRUDENCIAL,3
APE POUPEX - PRUDENCIAL,3
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL,3
BANCO MASTER - PRUDENCIAL,3
BANCOOB - PRUDENCIAL,3
BANESTES - PRUDENCIAL,3
BCO CLASSICO S.A. - PRUDENCIAL,3
BCO COOPERATIVO SICREDI - PRUDENCIAL,3
BCO CSF S.A. - PRUDENCIAL,3
BCO DA AMAZONIA S.A. - PRUDENCIAL,3
BCO DO EST. DO PA S.A. - PRUDENCIAL,3
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL,3
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL,3
BMG - PRUDENCIAL,3
BNP PARIBAS - PRUDENCIAL,3
BOFA MERRILL LYNCH - PRUDENCIAL,3
BRB - PRUDENCIAL,3
COOPERATIVA DE CREDITO CREDICITRUS,3
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI,3
GM - PRUDENCIAL,3
GOLDMAN SACHS - PRUDENCIAL,3
HONDA - PRUDENCIAL,3
INTER - PRUDENCIAL,3
JP MORGAN CHASE - PRUDENCIAL,3
MERCANTIL DO BRASIL - PRUDENCIAL,3
MERCEDES-BENZ - PRUDENCIAL,3
MORGAN STANLEY - PRUDENCIAL,3
PORTO SEGURO - PRUDENCIAL,3
STELLANTIS - PRUDENCIAL,3
UBS (BRASIL) - PRUDENCIAL,3
VOLKSWAGEN - PRUDENCIAL,3
VOLVO - PRUDENCIAL,3
ALL IN CRED SCD - PRUDENCIAL,4
ARTTA SCD PRUDENCIAL,4
BANCO DIGIMAIS - PRUDENCIAL,4
BCO DO EST. DE SE S.A. - PRUDENCIAL,4
BCO LUSO BRASILEIRO S.A. - PRUDENCIAL,4
BS2 - PRUDENCIAL,4
CDC SCD - PRUDENCIAL,4
CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB,4
CENTRAL DAS COOPERATIVAS DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB CENTRAL CECRESP,4
CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO,4
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER,4
"COOPERATIVA CENTRAL DE CRÉDITO DE GOIÁS, DISTRITO FEDERAL E TOCANTINS LTDA. - SICOOB NOVA CENTRAL",4
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS,4
COOPERATIVA CENTRAL DE CRÉDITO UNICRED DO BRASIL - UNICRED DO BRASIL,4
"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE",4
COOPERATIVA DE CREDITO COOPLIVRE,4
COOPERATIVA DE CREDITO CREDIAGRO LTDA. - SICOOB CREDIAGRO,4
COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA,4
COOPERATIVA DE CREDITO CREDIMOTA   SICOOB CREDIMOTA,4
COOPERATIVA DE CREDITO CREDIROCHAS - SICOOB CREDIROCHAS,4
COOPERATIVA DE CREDITO CREDISUDESTE LTDA. - SICOOB CREDISUDESTE,4
COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PARA DE MINAS LTDA - SICOOB ASCICRED,4
COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PITANGUI E REGIAO LTDA. - SICOOB CREDPIT,4
COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO CENTRO NORDESTE MINEIRO LTDA - SICOOB CREDICENM,4
COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO VALE DO AÇO LTDA - SICOOB VALE DO AÇO,4
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAIPU SICOOB CREDITAIPU,4
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO SUL DE MINAS LTDA - SICOOB CREDIVASS,4
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO GORUTUBA LTDA - SICOOB CREDIVAG,4
COOPERATIVA DE CREDITO DO PLANALTO SUL - SICOOB CREDISSERRANA,4
COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDARIA - CRESOL LITORAL,4
COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL TREZE DE MAIO,4
COOPERATIVA DE CREDITO E INVESTIMENTO COM INTERACAO SOLIDARIA PIONEIRA - CRESOL PIONEIRA,4
COOPERATIVA DE CREDITO NOSSO - SICOOB NOSSO,4
COOPERATIVA DE CREDITO SICOOB COOPEC LTDA.,4
COOPERATIVA DE CREDITO SULCREDI AMPLEA,4
"COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO DO RIO DE JANEIRO - SICREDI RIO RJ",4
"COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO ALIANÇA - SICREDI ALIANÇA PR/SP",4
"COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO PARQUE DAS ARAUCARIAS - SICREDI PARQUE DAS ARAUCARIAS PR/SC/SP",4
COOPERATIVA DE CRÉDITO  DE FRONTEIRAS  LTDA. - SICOOB FRONTEIRAS,4
COOPERATIVA DE CRÉDITO - SICREDI EXPANSÃO,4
COOPERATIVA DE CRÉDITO ALIANÇA RS/SC/ES - SICREDI ALIANÇA RS/SC/ES,4
COOPERATIVA DE CRÉDITO ALTO VALE DO ITAJAÍ - SICOOB ALTO VALE,4
COOPERATIVA DE CRÉDITO ARACOOP LTDA. - SICOOB ARACOOP,4
COOPERATIVA DE CRÉDITO ARACREDI LTDA. - SICOOB ARACREDI,4
COOPERATIVA DE CRÉDITO CENTRO LESTE NORTE MARANHENSE - SICOOB CENTROLESTE,4
COOPERATIVA DE CRÉDITO CLÁSSICA DOS EMPREGADOS DA VALE S/A E ENTIDADES VINCULADAS LTDA. - SICOOB COOPVALE,4
COOPERATIVA DE CRÉDITO COCRE,4
COOPERATIVA DE CRÉDITO COOPACREDI LTDA. - SICOOB COOPACREDI,4
COOPERATIVA DE CRÉDITO COPERSUL LTDA - SICOOB COPERSUL,4
COOPERATIVA DE CRÉDITO CREDIARA LTDA - SICOOB CREDIARA,4
COOPERATIVA DE CRÉDITO CREDIBOM LTDA. - SICOOB CREDIBOM,4
COOPERATIVA DE CRÉDITO CREDICAF LTDA - SICOOB CREDICAF,4
COOPERATIVA DE CRÉDITO CREDICAMPO LTDA.- SICOOB CREDICAMPO,4
COOPERATIVA DE CRÉDITO CREDICOPE LTDA. - SICOOB CREDICOPE,4
COOPERATIVA DE CRÉDITO CREDIESMERALDAS LTDA. - SICOOB CREDIESMERALDAS,4
COOPERATIVA DE CRÉDITO CREDIFOR LTDA - SICOOB CREDIFOR,4
COOPERATIVA DE CRÉDITO CREDIGUAÇU - SICOOB CREDIGUAÇU,4
COOPERATIVA DE CRÉDITO CREDIJEQUITINHONHA LTDA. - SICOOB CREDIJEQUITINHONHA,4
COOPERATIVA DE CRÉDITO CREDIMAC LTDA - SICOOB CREDIMAC,4
COOPERATIVA DE CRÉDITO CREDIMATA LTDA. - SICOOB CREDIMATA,4
COOPERATIVA DE CRÉDITO CREDINACIONAL LTDA. - SICOOB CREDINACIONAL,4
COOPERATIVA DE CRÉDITO CREDINOR LTDA - SICOOB CREDINOR,4
COOPERATIVA DE CRÉDITO CREDINORTE LTDA. - SICOOB CREDINORTE,4
COOPERATIVA DE CRÉDITO CREDINOSSO LTDA - SICOOB CREDINOSSO,4
COOPERATIVA DE CRÉDITO CREDINTER LTDA. - SICOOB CREDINTER,4
COOPERATIVA DE CRÉDITO CREDISETE LTDA. - SICOOB CREDISETE,4
COOPERATIVA DE CRÉDITO CREDIUNA LTDA - SICOOB CREDIUNA,4
COOPERATIVA DE CRÉDITO CREDIVALE LTDA - SICOOB CREDIVALE,4
COOPERATIVA DE CRÉDITO CREDIVAZ LTDA. - SICOOB CREDIVAZ,4
COOPERATIVA DE CRÉDITO CREDIVERDE LTDA. - SICOOB CREDIVERDE,4
COOPERATIVA DE CRÉDITO CREDPLUS LTDA. - SICOOB CREDPLUS,4
COOPERATIVA DE CRÉDITO DA AMAZÔNIA - SICOOB AMAZÔNIA,4
COOPERATIVA DE CRÉDITO DA REGIÃO CENTRAL DE MINAS LTDA. - SICOOB UNIÃO CENTRAL,4
COOPERATIVA DE CRÉDITO DA REGIÃO DO VALE DO RIO GRANDE LTDA. - SICOOB CREDILEITE,4
COOPERATIVA DE CRÉDITO DA REGIÃO MERIDIONAL DO BRASIL - SICOOB UNICOOB MERIDIONAL,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO BURITIS - SICOOB BURITIS,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO NORDESTE - SICOOB CENTRO NORDESTE,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO CENTRAL E OESTE MINEIRO LTDA. - SICOOB DIVICRED,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE  PARÁ DE MINAS LTDA - SICOOB CREDIRURAL,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE SÃO SEBASTIÃO DO PARAÍSO LTDA. - SICOOB PARAÍSOCRED,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO CIRCUITO CAMPOS DAS VERTENTES LTDA - SICOOB COPERMEC,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO LESTE DA BACIA DO RIO DOCE LTDA   SICOOB CREDILESTE,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA UNIÃO DOS VALES DO PIRANGA E MATIPÓ LTDA. - SICOOB UNIÃO DOS VALES,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ANÁPOLIS E REGIÃO LTDA,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB CRUZ ALTA,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE DORES DO INDAIÁ LTDA - COOPCREDI,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO MEIO OESTE CATARINENSE - SICOOB CREDIMOC SC,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SUL DO BRASIL - CREVISC,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO CANOINHAS - SICOOB CREDICANOINHAS/SC,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NOVA TRENTO   SICOOB TRENTOCREDI SC,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NOVOS CAMPOS - SICOOB NOVOS CAMPOS,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OESTE CATARINENSE,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC/PR/RS,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS VALE DO RIO DO PEIXE - SICOOB CREDIRIO SC,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE BELO HORIZONTE E CIDADES POLO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB NOSSACOOP,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CAMPOS GERAIS E CAMPO DO MEIO LTDA - SICOOB CREDCAM,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ITAJUBÁ LTDA - SICOOB SUDESTE MAIS,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE JATAÍ E REGIÃO LTDA.,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PEDRO LEOPOLDO LTDA - SICOOB CREDIPEL,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PERNAMBUCO - SICOOB PERNAMBUCO,4
"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PITANGUI, PAPAGAIOS, MARAVILHAS E REGIÃO LTDA. - SICOOB CREDICOOP",4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE RIO VERDE E REGIÃO LTDA.,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE RORAIMA LTDA.,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTA CRUZ DAS PALMEIRAS E REGIÃO,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTO ANTÔNIO DO MONTE LTDA.   SICOOB CREDIMONTE,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SÃO ROQUE DE MINAS LTDA.,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO SÃO FRANCISCO LTDA.,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE BRASILEIRO,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE DOS ESTADOS DE MATO GROSSO E MATO GROSSO DO SUL - SICOOB UNIÃO MT/MS,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL DE MATO GROSSO DO SUL - SICOOB CENTRO SUL MS,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CIRCUITO DAS ÁGUAS - SICOOB CIRCUITO DAS ÁGUAS,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DE GOIÁS,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DO ACRE LTDA.,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DO PARÁ - SICOOB COOESA,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DO RIO DE JANEIRO - SICOOB FLUMINENSE,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DE MATO GROSSO - SICOOB NORTE MT,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO OESTE MARANHENSE - SICOOB OESTE MARANHENSE,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO OESTE MINEIRO LTDA. - SICOOB CREDICOPA,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO TOCANTINS LTDA,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE - SICOOB CREDIVALE/SC,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO RIO GRANDE LTDA. - SICOOB UBERABA,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO E DOS ADVOGADOS LTDA. - SICOOB CREDIJUR,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB ARENITO PARANÁ / SÃO PAULO,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB UNIÃO SUDESTE,4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO E NEGÓCIOS - SICOOB INTEGRAÇÃO,4
COOPERATIVA DE CRÉDITO DE PRODUTORES RURAIS E DE LIVRE ADMISSÃO DO TRIÂNGULO LTDA    SICOOB CREDITRIL,4
COOPERATIVA DE CRÉDITO DE RIO RUFINO - SICOOB CREDIUNIÃO,4
