"","ativo_total","carteira_de_credito","patrimonio_liquido","lucro_liquido","indice_de_basileia","indice_de_imobilizacao","numero_de_agencias","numero_de_postos_de_atendimento"
"ativo_total",20971607353790464,10031513860140224,1655835407987892,73180452861949.8,-6383367.93907769,1154865.36954963,26971826494.1491,8694197206.04902
"carteira_de_credito",10031513860140224,4886492358757952,776014193253052,34500707869666.5,-2930423.78750058,508616.635703728,13173509505.2676,4182680108.18418
"patrimonio_liquido",1655835407987892,776014193253052,146416902554460,6220562257348.71,-548957.365578492,83733.5598280432,1973421276.20683,668562384.178537
"lucro_liquido",73180452861949.8,34500707869666.5,6220562257348.71,276782377402.748,-22670.0678164773,3841.7362432027,85456181.3818779,30295187.8564566
"indice_de_basileia",-6383367.93907769,-2930423.78750058,-548957.365578492,-22670.0678164773,7.09413105953213,-0.0243893260355765,-6.62886694883854,-5.84054492899989
"indice_de_imobilizacao",1154865.36954963,508616.635703728,83733.5598280432,3841.7362432027,-0.0243893260355765,0.0105362449830121,1.38369011097421,0.867765439625169
"numero_de_agencias",26971826494.1491,13173509505.2676,1973421276.20683,85456181.3818779,-6.62886694883854,1.38369011097421,39926.1301869659,12037.5085505904
"numero_de_postos_de_atendimento",8694197206.04902,4182680108.18418,668562384.178537,30295187.8564566,-5.84054492899989,0.867765439625169,12037.5085505904,6534.20461523237
