Cluster,ativo_total,carteira_de_credito,patrimonio_liquido,lucro_liquido,indice_de_basileia,indice_de_imobilizacao,numero_de_agencias,numero_de_postos_de_atendimento
1,8928571,4276586,6748160,272859,0.6048,0.0049,4,1062
2,135610163.93333334,46889957.13333333,9254374.466666667,385155.73333333334,0.1574,0.10518666666666666,92.53333333333333,14.866666666666664
3,4532843.07202214,2269093.4930748004,603355.3240997258,19133.501385041585,0.12517700831024928,0.14912493074792244,1.8587257617728477,21.639889196675842
4,993905.3004484402,402065.87144992646,159457.98206278108,3593.659192825082,0.7158325859491781,0.028121524663677126,0.6980568011958151,3.4693572496263103
