Cluster,ativo_total,carteira_de_credito,patrimonio_liquido,lucro_liquido,indice_de_basileia,indice_de_imobilizacao,numero_de_agencias,numero_de_postos_de_atendimento
1,161541468.125,57375109.125,11644236,478590.875,0.148825,0.14675,141.875,7.75
2,8928571,4276586,6748160,272859,0.6048,0.0049,4,1062
3,46222556.606060594,18665301.666666664,5021641.363636363,165145.93939393936,0.19482121212121212,0.06873333333333334,22.24242424242424,31
4,2040103.5611940396,1056808.2656716427,233830.62985074692,7649.304477611949,0.1203086567164179,0.15836149253731344,0.40895522388059746,19.61194029850742
5,1247116.065769817,541834.946188346,188494.71599402162,4854.451420029924,0.7152747384155457,0.0265050822122571,0.7772795216741395,4.037369207772778
