K,WSS
1,6318.357354174496
2,3180.6493542796993
3,2458.9903810848778
4,1916.447885036855
5,1609.8944474200323
6,1294.7532607351004
7,1064.9729345611488
8,992.4725243110827
9,829.9438825580928
10,548.5484718897287
