K,WSS
1,7072.769335741494
2,4333.587688133139
3,3633.793274692434
4,3089.469706475673
5,2571.16772307282
6,1867.84568197907
7,1498.3479063564494
8,1193.6160586342455
9,1043.0649036969828
10,940.635407692314
