Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA (e);Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S4;C;3;OSASCO;SP;03/2025;70.044.656;15.637.184;25.817.591;65.640.099;36.156.238;4.404.558;-2.767;3.847.938;12,42%;NA%;3;0
PAGSEGURO - PRUDENCIAL;1000084813;b1;S3;C;2;SAO PAULO;SP;03/2025;69.824.144;3.246.154;1.010.994;58.288.251;42.555.235;11.535.893;492.038;8.018.628;31,22%;NA%;6;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;03/2025;64.235.791;20.153.391;26.269.160;57.748.213;47.472.237;6.487.579;228.670;9.071.822;17,15%;0,51%;15;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;03/2025;56.724.338;31.863.214;20.382.591;50.033.063;14.559.172;6.691.275;307.457;6.594.087;13,77%;1,75%;115;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;03/2025;54.797.773;45.839.901;18.134;49.359.490;44.049.609;5.438.282;399.178;5.935.271;13,35%;0,10%;3;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;03/2025;52.616.327;37.923.412;5.505.339;46.946.761;42.089.753;5.669.566;45.140;7.566.879;13,93%;0,97%;19;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;03/2025;49.496.545;24.620.542;14.288.824;45.848.013;41.766.992;3.648.532;114.891;3.636.778;12,13%;26,53%;35;2
STONE IP - PRUDENCIAL;1000084686;n1;S4;C;3;SAO PAULO;SP;03/2025;47.412.867;1.285.458;227.536;37.146.469;16.830.011;10.266.397;235.991;3.157.298;17,19%;NA%;5;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;03/2025;39.023.925;2.089.748;10.083.903;32.625.987;24.433.618;6.397.938;336.542;6.283.563;26,93%;1,75%;3;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;03/2025;38.190.710;11.548.506;15.544.509;35.918.759;34.481.266;2.271.952;54.542;1.942.064;13,57%;24,38%;91;62
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;03/2025;36.936.141;313.294;19.625.122;32.399.287;14.282.544;4.536.854;357.907;4.404.273;27,66%;0,49%;4;0
AGIBANK - PRUDENCIAL;1000083694;b1;S3;C;2;CAMPINAS;SP;03/2025;33.594.579;25.190.368;3.571.834;30.921.455;25.496.202;2.673.124;348.772;3.067.233;15,31%;41,07%;4;238
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;03/2025;33.513.207;7.758.335;15.383.659;29.618.331;21.023.453;3.894.876;83.511;5.729.765;16,72%;1,58%;2;0
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;03/2025;29.952.812;13.518.493;7.325.744;28.751.506;26.793.174;1.201.307;16.522;2.960.979;15,39%;5,33%;2;0
BOCOM - PRUDENCIAL;1000084624;b1;S3;C;3;SALVADOR;BA;03/2025;29.687.774;12.165.704;11.770.947;28.215.237;23.981.890;1.472.537;81.221;2.336.953;15,74%;0,52%;8;0
PICPAY - PRUDENCIAL;1000088022;b1;S3;C;2;SAO PAULO;SP;03/2025;29.560.537;11.459.378;4.966.223;26.698.321;21.028.925;2.862.215;65.073;1.390.052;11,12%;NA%;7;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;03/2025;28.701.205;26.393.800;2.269;25.668.876;23.569.305;3.032.329;53.505;3.842.782;15,97%;0,07%;2;0
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2025;27.966.453;0;23.020.267;10.358.307;230;17.608.145;735;5.262.367;12,74%;6,46%;2;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;03/2025;27.797.483;17.848.113;2.361.200;25.864.850;23.393.087;1.932.632;241.206;2.550.211;16,42%;28,22%;11;279
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S3;I;2;BELO HORIZONTE;MG;03/2025;26.913.278;225.489;7.093.766;25.374.590;624.464;1.538.688;42.948;843.338;16,21%;10,89%;0;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;03/2025;25.970.849;21.454.514;2.486.017;21.299.067;19.621.705;4.671.782;108.900;4.514.591;17,99%;0,86%;4;0
SOFISA - PRUDENCIAL;1000080271;b1;S3;C;2;SAO PAULO;SP;03/2025;23.640.711;7.574.097;9.116.675;22.476.758;16.241.829;1.163.952;52.818;NI;NI%;NI%;25;0
UBS (BRASIL) - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;03/2025;23.456.935;5.392.308;4.363.373;16.465.220;5.674.414;6.991.715;114.775;6.466.364;40,57%;0,72%;15;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;03/2025;22.791.886;0;9.288.719;16.864.735;7.799.668;5.927.151;144.405;5.890.485;23,33%;1,08%;4;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;C;2;SAO PAULO;SP;03/2025;21.717.448;17.791.597;321.820;20.169.861;4.013.975;1.547.587;143.473;2.549.342;12,54%;6,88%;5;0
BANK OF CHINA (BRASIL) - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;03/2025;21.514.410;12.208.499;5.174.277;19.482.226;17.410.711;2.032.184;31.135;2.936.146;17,42%;0,90%;16;1
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;2;SAO PAULO;SP;03/2025;21.163.540;16.997.200;935.144;18.323.914;3.907.498;2.839.626;129.939;2.661.930;14,95%;3,87%;2;0
STELLANTIS - PRUDENCIAL;1000087298;b2;S4;C;3;SAO PAULO;SP;03/2025;20.914.472;17.945.329;1.023.841;16.036.605;14.751.103;4.877.867;144.364;2.910.260;18,25%;0,11%;4;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;03/2025;20.861.015;6.749.757;9.334.680;19.689.078;18.397.986;1.171.937;25.916;978.887;11,58%;2,72%;2;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;03/2025;20.011.150;18.453.184;267.877;17.385.307;16.621.593;2.625.843;64.957;2.613.336;14,74%;0,49%;4;0
TERRA INVESTIMENTOS DTVM - PRUDENCIAL;1000084514;n2;S4;C;2;SAO PAULO;SP;03/2025;19.975.512;0;132.510;19.893.803;1.555.071;81.709;4.914;74.382;17,94%;NA%;6;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S3;I;2;BELO HORIZONTE;MG;03/2025;19.291.099;1.076.135;5.061.161;18.435.270;0;855.829;27.919;497.860;14,38%;2,18%;0;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S3;I;2;FLORIANOPOLIS;SC;03/2025;18.849.182;185.662;4.411.100;17.631.697;597.026;1.217.485;35.318;689.601;16,29%;0,93%;0;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;03/2025;18.712.177;14.301.257;1.767.550;16.547.058;15.773.287;2.165.118;57.988;1.977.434;13,79%;6,32%;165;34
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;03/2025;17.964.603;8.684.126;2.601.143;15.186.425;13.583.641;2.778.178;21.127;2.721.987;22,66%;0,45%;2;0
VOLVO - PRUDENCIAL;1000080769;b2;S3;C;3;CURITIBA;PR;03/2025;17.060.496;15.757.916;13.972;13.373.006;12.998.922;3.687.491;105.502;3.676.814;22,26%;14,66%;3;0
CLOUDWALK IP - PRUDENCIAL;1000086581;n4;;C;2;SAO PAULO;SP;03/2025;16.870.855;0;622.177;9.517.655;1.163.359;7.353.200;330.144;1.325.712;48,29%;NA%;1;0
SCANIA - PRUDENCIAL;1000080776;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;03/2025;16.713.261;16.014.705;3.221;14.996.156;14.697.451;1.717.105;20.602;1.709.590;11,91%;0,44%;3;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;I;2;BEBEDOURO;SP;03/2025;15.915.889;8.822.505;3.128.905;12.717.376;11.275.815;3.198.513;101.724;3.128.108;27,32%;3,18%;0;127
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S3;C;3;SAO PAULO;SP;03/2025;15.628.820;1.328.227;2.237.548;12.462.767;9.822.194;3.166.053;45.169;2.963.941;54,35%;1,37%;4;0
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;03/2025;15.520.634;12.379.370;133.310;12.512.761;10.884.534;3.007.873;102.384;2.625.429;21,38%;2,95%;3;0
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;03/2025;15.383.114;9.423.552;2.438.100;9.328.104;7.534.783;6.055.009;140.609;3.293.289;25,85%;0,28%;5;0
MIZUHO - PRUDENCIAL;1000080697;b1;S4;I;3;SAO PAULO;SP;03/2025;15.331.018;3.079.566;6.646.079;14.087.448;12.673.155;1.243.570;36.998;1.186.444;18,30%;0,35%;2;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;I;3;SAO PAULO;SP;03/2025;14.816.449;2.824.523;2.442.879;12.083.010;9.036.781;2.733.439;31.108;2.733.256;18,01%;0,95%;2;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;I;2;BLUMENAU;SC;03/2025;14.785.397;8.298.014;560.575;11.609.825;10.447.939;3.175.572;194.193;3.175.572;29,74%;1,31%;0;115
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S3;I;3;PORTO ALEGRE;RS;03/2025;14.577.376;13.366.435;0;13.237.622;12.078.546;1.339.754;-18.110;1.862.047;14,48%;3,09%;3;0
BR PARTNERS - PRUDENCIAL;1000080934;b2;S4;C;2;SAO PAULO;SP;03/2025;14.462.723;633.684;12.315.191;13.786.868;12.815.077;675.856;4.661;1.180.891;19,51%;1,94%;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S3;I;2;RIBEIRAO PRETO;SP;03/2025;14.071.786;0;2.000.023;13.367.338;2.156.676;704.447;31.794;415.902;17,03%;0,58%;0;0
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S4;I;2;FRANCISCO BELTRAO;PR;03/2025;14.037.973;60.717;2.881.571;13.418.270;9.075.107;619.702;33.879;623.838;14,75%;21,13%;0;0
BANCO HSBC - PRUDENCIAL;1000084741;b1;S3;I;3;SAO PAULO;SP;03/2025;13.971.759;4.824.091;2.979.348;12.584.594;10.101.722;1.387.166;41.389;1.820.669;21,02%;0,49%;2;0
COOPERATIVA CENTRAL DE CRÉDITO UNICRED DO BRASIL - UNICRED DO BRASIL;315557;b3C;S4;I;2;SAO PAULO;SP;03/2025;13.433.343;0;8.241.615;12.833.798;0;599.545;7.929;337.689;22,09%;10,36%;0;2
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;03/2025;13.276.077;2.222.218;4.668.664;11.684.129;9.208.159;1.591.948;33.135;1.560.452;27,21%;0,66%;2;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;03/2025;13.110.436;4.927.454;1.990.324;12.259.286;11.019.665;851.150;7.361;812.986;12,31%;13,72%;66;7
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;03/2025;13.023.141;6.938.446;4.108.490;10.767.389;9.575.393;2.255.752;36.485;2.011.345;23,71%;0,82%;2;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S3;I;2;SERTAOZINHO;SP;03/2025;12.830.621;8.429.170;485.703;11.101.255;10.170.068;1.729.366;16.122;1.689.307;16,56%;6,07%;0;43
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS;79342069;b3S;S3;I;2;MARINGA;PR;03/2025;12.577.930;7.688.003;3.274.792;11.384.422;6.614.490;1.193.508;27.318;1.392.093;16,35%;25,15%;0;113
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;C;3;SAO PAULO;SP;03/2025;11.974.808;10.070.932;0;10.476.669;10.037.127;1.498.139;51.571;1.483.202;15,71%;3,24%;3;0
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;S3;I;2;BLUMENAU;SC;03/2025;11.683.803;935.420;7.094.939;10.843.922;2.395.507;839.881;0;482.486;35,37%;6,52%;0;0
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;03/2025;11.607.763;115.690;2.967.542;10.955.454;441.376;652.310;27.504;498.180;18,97%;4,37%;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;03/2025;11.544.481;8.121.386;2.045.180;9.806.689;4.863.164;1.737.791;90.653;1.759.995;16,75%;6,41%;0;39
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;03/2025;11.482.630;8.348.459;1.713.856;10.097.216;9.828.747;1.385.414;53.522;959.335;16,60%;9,67%;4;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;03/2025;11.389.230;7.193.531;3.068.135;10.274.018;6.423.466;1.115.212;14.811;1.339.250;16,52%;7,49%;0;97
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;03/2025;11.230.196;4.979.907;1.539.203;3.614.983;3.480.408;7.615.214;24.860;1.534.927;44,10%;1,22%;61;0
COOPERATIVA DE CRÉDITO CONEXÃO - SICOOB CONEXÃO;32430233;b3S;S5;I;2;LINHARES;ES;03/2025;11.186.156;6.875.899;735.397;9.095.206;7.462.456;2.090.950;120.858;2.090.706;25,54%;3,51%;0;46
BCO INBURSA S.A. - PRUDENCIAL;1000081335;b1;S4;I;3;SAO PAULO;SP;03/2025;10.739.464;10.329.328;292.961;9.441.211;9.340.287;1.298.252;50.197;1.298.221;16,06%;0,04%;2;1
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;03/2025;10.628.100;6.702.336;2.849.220;9.397.027;5.637.535;1.231.073;73.304;1.399.806;18,33%;23,15%;0;97
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;03/2025;10.590.791;0;5.358.752;8.338.201;0;2.252.589;0;385.601;22,97%;0,28%;0;0
COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES;90608712;b3S;S4;I;2;CARLOS BARBOSA;RS;03/2025;10.407.759;5.615.159;3.401.493;9.318.504;6.554.266;1.089.254;67.020;1.150.299;16,75%;8,39%;0;50
NEON PAGAMENTOS IP - PRUDENCIAL;1000085702;n1;S4;C;2;SAO PAULO;SP;03/2025;10.241.118;5.103.473;1.739.247;8.836.805;5.735.368;1.404.313;9.274;749.446;15,73%;NA%;5;0
